accx,accy,accz,gyrox,gyroy,gyroz,magx,magy,magz,imu_time,fix_type,pdop,num_svs,latitude,longitude,altitude,course_deg,speed,time_of_day,roll,pitch,yaw,baro_pressure_mbar,baro_temp_c,mag_x_cal,mag_y_cal,mag_z_cal
5.0899405,-5.7239733,-6.120853,0.020052085,0.017864585,-0.026250012,380.0,95.0,143.0,3110235400.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.176876,31.364223,143.75677,970.6504,27.7248,-493.05557,50.635845,334.13058
5.0982704,-5.712233,-6.0658565,0.03682292,0.017500043,-0.008750007,376.0,91.0,144.0,3111547000.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.17869,31.365538,143.75874,970.6504,27.7248,-485.61942,43.017685,336.07126
5.0955925,-5.7485456,-6.1143456,0.0014583357,0.0171355,0.009114578,385.0,89.0,147.0,3112858400.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.179493,31.36472,143.76471,970.6504,27.7248,-501.90494,39.59358,341.6498
5.095456,-5.7404666,-6.119669,-0.016041664,-0.0007289648,-0.008020833,379.0,93.0,149.0,3114169600.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.17906,31.363926,143.76071,970.6504,27.7248,-491.0889,46.874287,345.53424
5.0782156,-5.7262516,-6.127998,-0.032083333,0.015677214,-0.025156252,381.0,92.0,149.0,3115481000.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.177254,31.362871,143.75809,970.6504,27.7248,-494.69727,45.072525,345.5064
5.102296,-5.691233,-6.0954413,0.0025520865,-0.053593516,0.026614584,387.0,94.0,143.0,3116792600.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.175785,31.362728,143.7804,970.6472,27.7248,-505.77097,49.00637,334.0391
5.0952044,-5.700557,-6.1553335,0.0021875035,-0.017499804,0.00838542,378.0,90.0,150.0,3118104000.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.17225,31.361532,143.76718,970.6472,27.7248,-489.15137,41.23017,347.43912
5.11633,-5.7241683,-6.100333,-0.032447916,-0.01640606,-0.009114578,383.0,93.0,147.0,3119415300.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.171516,31.362291,143.77377,970.6472,27.7248,-498.39996,47.007366,341.68478
5.0885916,-5.7274847,-6.1347184,0.036822923,-0.0331769,0.007656254,382.0,91.0,145.0,3120726800.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.170753,31.360483,143.78055,970.6472,27.7248,-496.53513,43.226807,337.89417
5.068749,-5.7180414,-6.0893273,0.07000001,-0.0331769,0.024427086,378.0,89.0,144.0,3122038300.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.172337,31.35866,143.7824,970.64655,27.71859,-489.19327,39.345245,336.04108
